##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	HU2_MOCK2_L001_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	65915836
Sequences flagged as poor quality	0
Sequence length	50-151
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.962999847259766	37.0	37.0	37.0	37.0	37.0
2	36.15964597642363	37.0	37.0	37.0	37.0	37.0
3	36.19296721048945	37.0	37.0	37.0	37.0	37.0
4	36.24675774422401	37.0	37.0	37.0	37.0	37.0
5	36.248633302625485	37.0	37.0	37.0	37.0	37.0
6	36.256094529393515	37.0	37.0	37.0	37.0	37.0
7	36.251557197878824	37.0	37.0	37.0	37.0	37.0
8	36.24402218004183	37.0	37.0	37.0	37.0	37.0
9	36.20997225917001	37.0	37.0	37.0	37.0	37.0
10-14	36.23171714608914	37.0	37.0	37.0	37.0	37.0
15-19	36.19971252735079	37.0	37.0	37.0	37.0	37.0
20-24	36.16549245920207	37.0	37.0	37.0	37.0	37.0
25-29	36.13092563978101	37.0	37.0	37.0	37.0	37.0
30-34	36.10949444379345	37.0	37.0	37.0	37.0	37.0
35-39	36.08446215564952	37.0	37.0	37.0	37.0	37.0
40-44	36.04977547732232	37.0	37.0	37.0	37.0	37.0
45-49	36.03073200801094	37.0	37.0	37.0	37.0	37.0
50-54	35.99890228435934	37.0	37.0	37.0	37.0	37.0
55-59	35.97760053588414	37.0	37.0	37.0	37.0	37.0
60-64	35.95631391593605	37.0	37.0	37.0	37.0	37.0
65-69	35.93027961317007	37.0	37.0	37.0	37.0	37.0
70-74	35.90459259344278	37.0	37.0	37.0	37.0	37.0
75-79	35.86658500389325	37.0	37.0	37.0	37.0	37.0
80-84	35.84034432051458	37.0	37.0	37.0	37.0	37.0
85-89	35.79333849484095	37.0	37.0	37.0	37.0	37.0
90-94	35.79992190976825	37.0	37.0	37.0	37.0	37.0
95-99	35.71004608627013	37.0	37.0	37.0	37.0	37.0
100-104	35.726069589597174	37.0	37.0	37.0	37.0	37.0
105-109	35.69739317854349	37.0	37.0	37.0	37.0	37.0
110-114	35.63900716277856	37.0	37.0	37.0	37.0	37.0
115-119	35.602229671538915	37.0	37.0	37.0	37.0	37.0
120-124	35.48477508107998	37.0	37.0	37.0	37.0	37.0
125-129	35.493217376759674	37.0	37.0	37.0	37.0	37.0
130-134	35.42252754597828	37.0	37.0	37.0	37.0	37.0
135-139	35.35459753040932	37.0	37.0	37.0	37.0	37.0
140-144	35.23803632067502	37.0	37.0	37.0	29.8	37.0
145-149	35.18731701631831	37.0	37.0	37.0	29.8	37.0
150-151	34.86678541498969	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1112	4	-0.029578333340069207
1112	5	0.05041565335250908
1112	6	0.03446744618726427
1112	7	0.014027960962273767
1112	8	0.0029335300166692946
1112	9	-0.019547173432300724
1112	10-14	0.014550132012018935
1112	15-19	0.043670180149021576
1112	20-24	0.01738984844102731
1112	25-29	-0.0015163988469097944
1112	30-34	-0.015358771280290284
1112	35-39	-0.007803326818660139
1112	40-44	-0.043390710052584325
1112	45-49	0.025901205175244968
1112	50-54	-0.05003291521783382
1112	55-59	-0.014571307298588465
1112	60-64	0.027962395115480376
1112	65-69	-0.02471281034615913
1112	70-74	0.034211013516731725
1112	75-79	0.033599566844287665
1112	80-84	0.013666376527154966
1112	85-89	0.04868038971591915
1112	90-94	0.002239058796618565
1112	95-99	-0.04797322264757753
1112	100-104	-0.012906192347571732
1112	105-109	0.06643300878268121
1112	110-114	0.019486534076271766
1112	115-119	0.0521684214547804
1112	120-124	0.10854659997300331
1112	125-129	0.09780732401359415
1112	130-134	0.04266756279218242
1112	135-139	0.0777549515563507
1112	140-144	0.14315021290668994
1112	145-149	0.20261771016420482
1112	150-151	0.3275902345896071
1113	1	0.10165371494129971
1113	2	0.012586089479974305
1113	3	-0.007156241819167519
1113	4	0.022109282602599478
1113	5	0.04120487654969196
1113	6	0.02114979182978516
1113	7	0.008522424573115472
1113	8	0.040308041277036466
1113	9	0.03843823014759096
1113	10-14	-0.005943334506767428
1113	15-19	-0.009229927311480424
1113	20-24	-0.007254770703646329
1113	25-29	-0.019474877141938407
1113	30-34	-0.0064878885564354505
1113	35-39	0.015326657102484376
1113	40-44	0.010989612621642664
1113	45-49	-0.0012249522052130146
1113	50-54	-0.013096894905416434
1113	55-59	-0.043557843299218746
1113	60-64	0.022093797553310424
1113	65-69	-0.005796433396923817
1113	70-74	-0.024497233446453492
1113	75-79	0.01563657844594246
1113	80-84	0.005175162624468044
1113	85-89	0.012433980306362002
1113	90-94	0.06254449519055783
1113	95-99	-0.00177055715230523
1113	100-104	0.03155878173948423
1113	105-109	0.04616391910587225
1113	110-114	0.061599522483795965
1113	115-119	0.06498665528380343
1113	120-124	0.08616255852005139
1113	125-129	0.12440532825977613
1113	130-134	0.06441642084847388
1113	135-139	0.05672140148237759
1113	140-144	0.08218289129720802
1113	145-149	0.15524765767685977
1113	150-151	0.2515656224181626
1114	1	0.06720431323262233
1114	2	0.03829089595092938
1114	3	-0.04282095152205301
1114	4	0.06628223310872983
1114	5	-0.0035907742645733265
1114	6	-0.040284296130288055
1114	7	0.021277687126527667
1114	8	0.004200998329963568
1114	9	0.07987506323399884
1114	10-14	0.0044980129446301476
1114	15-19	0.017844640602326933
1114	20-24	0.015258142474422698
1114	25-29	-0.027446657997842294
1114	30-34	0.01559345491405395
1114	35-39	0.023877121910857113
1114	40-44	0.04400056812842479
1114	45-49	0.024447167452109397
1114	50-54	0.005085888730569366
1114	55-59	-0.007892151923293511
1114	60-64	0.0011844067737669661
1114	65-69	0.04227542490151848
1114	70-74	0.05573921490346834
1114	75-79	0.009187916025645393
1114	80-84	0.0033976601959437858
1114	85-89	0.04776761308133359
1114	90-94	0.0401774503909067
1114	95-99	0.001838518767691255
1114	100-104	0.041302014059589
1114	105-109	0.058016447272173366
1114	110-114	0.057858027517681876
1114	115-119	0.030654893033904784
1114	120-124	0.11295688468734255
1114	125-129	0.12490210799470702
1114	130-134	-0.03352459327996371
1114	135-139	0.06283383045737878
1114	140-144	0.0877383090202315
1114	145-149	0.18140015798436337
1114	150-151	0.31442253880153004
1115	1	0.16722411913478652
1115	2	0.05865277807751568
1115	3	0.1010293158576232
1115	4	0.062311149725879034
1115	5	-0.005178075851880237
1115	6	0.06914189859002562
1115	7	0.021453110831359368
1115	8	0.060809096114532224
1115	9	0.0671724064136967
1115	10-14	0.028899733228691105
1115	15-19	0.051248709300509177
1115	20-24	0.029724373411241345
1115	25-29	0.028336665432547647
1115	30-34	0.02517837979308979
1115	35-39	0.043833548926109245
1115	40-44	-0.01538686361194408
1115	45-49	0.05573851227286042
1115	50-54	0.05091419985300405
1115	55-59	-0.0010819793594549765
1115	60-64	0.07288801512081022
1115	65-69	0.06300972425439966
1115	70-74	0.07542119976197625
1115	75-79	0.14597043953178712
1115	80-84	0.06345829251527135
1115	85-89	0.09918822288422291
1115	90-94	0.11024796014553573
1115	95-99	0.09643971223355408
1115	100-104	0.07465378636171494
1115	105-109	0.12272253995205773
1115	110-114	0.16027813970996618
1115	115-119	0.08910565194330644
1115	120-124	0.2217598097372715
1115	125-129	0.1987557071122552
1115	130-134	0.08863901526286355
1115	135-139	0.15320271722154644
1115	140-144	0.15695239853828724
1115	145-149	0.29583165646982224
1115	150-151	0.3562520980945223
1116	1	0.03713683856206984
1116	2	-0.058773215562069936
1116	3	0.017671465509479845
1116	4	-0.04224411162549302
1116	5	-0.06572669659467323
1116	6	-0.0318002552647485
1116	7	-0.05817955423819399
1116	8	-0.011377401314682345
1116	9	-0.04720787350056099
1116	10-14	-0.004562629651140071
1116	15-19	0.01605180264729711
1116	20-24	-0.04382470965240515
1116	25-29	0.01108159041047685
1116	30-34	-0.01486533054188044
1116	35-39	-0.012067206197947655
1116	40-44	-0.058772873502810796
1116	45-49	-0.0035249966022874446
1116	50-54	-0.011205331101471927
1116	55-59	-0.02573794588331424
1116	60-64	-0.00646497810864588
1116	65-69	0.030408286069018686
1116	70-74	0.023898204115717192
1116	75-79	0.014112268797276784
1116	80-84	-0.010710309734228929
1116	85-89	-0.014355494079687503
1116	90-94	-0.033724304020132934
1116	95-99	-0.08130318047486185
1116	100-104	-0.0248569633697997
1116	105-109	0.002489701308519443
1116	110-114	-0.015647412619877343
1116	115-119	0.02376834600591593
1116	120-124	0.06900887757870322
1116	125-129	0.08299329252348286
1116	130-134	0.02911463213896326
1116	135-139	0.044549555230219084
1116	140-144	0.1353084489198011
1116	145-149	0.1433913010759511
1116	150-151	0.18978135763662607
1117	1	-0.0029928433898689377
1117	2	0.04585147681467561
1117	3	0.04433216685278296
1117	4	0.04338520387685918
1117	5	0.0042509566540758215
1117	6	0.05979867770834346
1117	7	0.04447368000577967
1117	8	0.03780645772727809
1117	9	0.07381832459807924
1117	10-14	0.07682949577384335
1117	15-19	0.06399698666417919
1117	20-24	0.013195773805712463
1117	25-29	0.05642524352111167
1117	30-34	0.037836490912745546
1117	35-39	0.07809211087697321
